名称,大类,经度,纬度,省份,地级市,区县,lon_round,lat_round,cell
东涌乡事委员会,交通设施,113.943796,22.275971,香港特别行政区,香港特别行政区,离岛区,113.944,22.276,113.944_22.276
北大屿山医院,交通设施,113.943883,22.278274,香港特别行政区,香港特别行政区,离岛区,113.944,22.278,113.944_22.278
松仁路,交通设施,113.943707,22.278399,香港特别行政区,香港特别行政区,离岛区,113.944,22.278,113.944_22.278
北大屿山医院，松仁路,交通设施,113.943785,22.278694,香港特别行政区,香港特别行政区,离岛区,113.944,22.279,113.944_22.279
"逸东村美逸楼,松仁路",交通设施,113.943637,22.278646,香港特别行政区,香港特别行政区,离岛区,113.944,22.279,113.944_22.279
医院专用停车场,交通设施,113.943938,22.279659,香港特别行政区,香港特别行政区,离岛区,113.944,22.28,113.944_22.28
东堤湾畔,交通设施,113.944082,22.284368,香港特别行政区,香港特别行政区,离岛区,113.944,22.284,113.944_22.284
"东堤湾畔,顺东路",交通设施,113.944143,22.284437,香港特别行政区,香港特别行政区,离岛区,113.944,22.284,113.944_22.284
东堤湾畔，顺东路,交通设施,113.944116,22.284395,香港特别行政区,香港特别行政区,离岛区,113.944,22.284,113.944_22.284
"东涌缆车站,达东路",交通设施,113.943603,22.286234,香港特别行政区,香港特别行政区,离岛区,113.944,22.286,113.944_22.286
东涌缆车站，达东路,交通设施,113.943631,22.286175,香港特别行政区,香港特别行政区,离岛区,113.944,22.286,113.944_22.286
东涌临时巴士总站,交通设施,113.944294,22.287187,香港特别行政区,香港特别行政区,离岛区,113.944,22.287,113.944_22.287
东涌市中心,交通设施,113.944308,22.287216,香港特别行政区,香港特别行政区,离岛区,113.944,22.287,113.944_22.287
东涌站巴士总站,交通设施,113.944487,22.287045,香港特别行政区,香港特别行政区,离岛区,113.944,22.287,113.944_22.287
东涌站非专利巴士上落乘客处,交通设施,113.944354,22.287202,香港特别行政区,香港特别行政区,离岛区,113.944,22.287,113.944_22.287
东涌铁路站巴士总站,交通设施,113.944288,22.287223,香港特别行政区,香港特别行政区,离岛区,113.944,22.287,113.944_22.287
昂坪360,交通设施,113.944277,22.287296,香港特别行政区,香港特别行政区,离岛区,113.944,22.287,113.944_22.287
昂坪360缆车站,交通设施,113.943621,22.287131,香港特别行政区,香港特别行政区,离岛区,113.944,22.287,113.944_22.287
昂坪缆车,交通设施,113.943952,22.287194,香港特别行政区,香港特别行政区,离岛区,113.944,22.287,113.944_22.287
东涌达东路巴士总站,交通设施,113.944221,22.287617,香港特别行政区,香港特别行政区,离岛区,113.944,22.288,113.944_22.288
民航处总部，东辉路,交通设施,113.944491,22.301162,香港特别行政区,香港特别行政区,离岛区,113.944,22.301,113.944_22.301
香港国际机场P2专用停车场,交通设施,113.94418,22.312054,香港特别行政区,香港特别行政区,离岛区,113.944,22.312,113.944_22.312
香港国际机场P2停车场,交通设施,113.943931,22.31233,香港特别行政区,香港特别行政区,离岛区,113.944,22.312,113.944_22.312
香港内河码头二号闸口,交通设施,113.943875,22.364514,香港特别行政区,香港特别行政区,屯门区,113.944,22.365,113.944_22.365
上长沙海滩,交通设施,113.94527,22.227511000000003,香港特别行政区,香港特别行政区,离岛区,113.945,22.228,113.945_22.228
东涌站,交通设施,113.944856,22.286462,香港特别行政区,香港特别行政区,离岛区,113.945,22.286,113.945_22.286
东涌铁路站,交通设施,113.944667,22.286201,香港特别行政区,香港特别行政区,离岛区,113.945,22.286,113.945_22.286
东涌,交通设施,113.94476,22.28718,香港特别行政区,香港特别行政区,离岛区,113.945,22.287,113.945_22.287
东涌港铁站,交通设施,113.944866,22.286868,香港特别行政区,香港特别行政区,离岛区,113.945,22.287,113.945_22.287
"东涌站巴士总站,东涌站",交通设施,113.944734,22.286774,香港特别行政区,香港特别行政区,离岛区,113.945,22.287,113.945_22.287
东涌发展码头,交通设施,113.945221,22.29061,香港特别行政区,香港特别行政区,离岛区,113.945,22.291,113.945_22.291
东涌新发展码头,交通设施,113.945469,22.290561,香港特别行政区,香港特别行政区,离岛区,113.945,22.291,113.945_22.291
东涌新码头,交通设施,113.945264,22.290813,香港特别行政区,香港特别行政区,离岛区,113.945,22.291,113.945_22.291
东涌发展码头东泊位,交通设施,113.945186,22.291548,香港特别行政区,香港特别行政区,离岛区,113.945,22.292,113.945_22.292
香港机场旅游巴专用停车场,交通设施,113.944819,22.309218,香港特别行政区,香港特别行政区,离岛区,113.945,22.309,113.945_22.309
机场博览馆,交通设施,113.945326,22.316359,香港特别行政区,香港特别行政区,离岛区,113.945,22.316,113.945_22.316
机场博览馆，航展路,交通设施,113.945377,22.316375,香港特别行政区,香港特别行政区,离岛区,113.945,22.316,113.945_22.316
机场博览馆巴士总站,交通设施,113.945387,22.31655,香港特别行政区,香港特别行政区,离岛区,113.945,22.317,113.945_22.317
马湾新村,交通设施,113.945856,22.277571,香港特别行政区,香港特别行政区,离岛区,113.946,22.278,113.946_22.278
东涌消防局,交通设施,113.945873,22.283202,香港特别行政区,香港特别行政区,离岛区,113.946,22.283,113.946_22.283
东涌消防局，顺东路,交通设施,113.945949,22.283185,香港特别行政区,香港特别行政区,离岛区,113.946,22.283,113.946_22.283
